date,time,source_ip,http_method,path,attack_type,raw_log
2026-01-15,14:19:11,192.168.1.16,GET,/ds.py,unknown,"2026-01-15 14:19:11,855 (glastopf.glastopf) 192.168.1.16 requested GET /ds.py on 192.168.1.11:8080"
,,192.168.1.16,,,comments,"2026-01-15 14:19:11,830 (python-logstash-handler) Glaspot: comments attack method from 192.168.1.16:58866 against 192.168.1.11:8080.[POST /comments]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:11,892 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58898 against 192.168.1.11:8080.[GET /index.php?open]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:11,911 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58876 against 192.168.1.11:8080.[GET /standard.php?z]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:11,927 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58866 against 192.168.1.11:8080.[GET /ds.py]"
2026-01-15,14:19:11,192.168.1.16,GET,/enter.php?b,unknown,"2026-01-15 14:19:11,935 (glastopf.glastopf) 192.168.1.16 requested GET /enter.php?b on 192.168.1.11:8080"
2026-01-15,14:19:11,192.168.1.16,GET,/press.php?*root*,unknown,"2026-01-15 14:19:11,944 (glastopf.glastopf) 192.168.1.16 requested GET /press.php?*root* on 192.168.1.11:8080"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:11,979 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58876 against 192.168.1.11:8080.[GET /enter.php?b]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:12,001 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58866 against 192.168.1.11:8080.[GET /press.php?*root*]"
2026-01-15,14:19:12,192.168.1.16,GET,/layout.php?my,unknown,"2026-01-15 14:19:12,003 (glastopf.glastopf) 192.168.1.16 requested GET /layout.php?my on 192.168.1.11:8080"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:12,064 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58898 against 192.168.1.11:8080.[GET /layout.php?my]"
2026-01-15,14:19:12,192.168.1.16,GET,/results.asp?cat,unknown,"2026-01-15 14:19:12,066 (glastopf.glastopf) 192.168.1.16 requested GET /results.asp?cat on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/index1.php?OpenPage,unknown,"2026-01-15 14:19:12,089 (glastopf.glastopf) 192.168.1.16 requested GET /index1.php?OpenPage on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/themen.php?ID,unknown,"2026-01-15 14:19:12,116 (glastopf.glastopf) 192.168.1.16 requested GET /themen.php?ID on 192.168.1.11:8080"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:12,179 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58876 against 192.168.1.11:8080.[GET /results.asp?cat]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:12,208 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58866 against 192.168.1.11:8080.[GET /index1.php?OpenPage]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:12,240 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58898 against 192.168.1.11:8080.[GET /themen.php?ID]"
2026-01-15,14:19:12,192.168.1.16,GET,/general.php?header,unknown,"2026-01-15 14:19:12,242 (glastopf.glastopf) 192.168.1.16 requested GET /general.php?header on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/index2.php?oldal,unknown,"2026-01-15 14:19:12,306 (glastopf.glastopf) 192.168.1.16 requested GET /index2.php?oldal on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/default.php?sivu,unknown,"2026-01-15 14:19:12,329 (glastopf.glastopf) 192.168.1.16 requested GET /default.php?sivu on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/pagina.php?path,unknown,"2026-01-15 14:19:12,339 (glastopf.glastopf) 192.168.1.16 requested GET /pagina.php?path on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/session/adminlogin,unknown,"2026-01-15 14:19:12,350 (glastopf.glastopf) 192.168.1.16 requested GET /session/adminlogin on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/include.php?*%5B*%5D*,unknown,"2026-01-15 14:19:12,367 (glastopf.glastopf) 192.168.1.16 requested GET /include.php?*%5B*%5D* on 192.168.1.11:8080"
